Timestamp,EventType,Details
2026-05-10 02:57:40,Distraction,Looking Center for >3s
2026-05-10 02:57:43,Distraction,Looking Center for >3s
2026-05-10 02:57:54,Distraction,Looking Center for >3s
2026-05-10 02:58:02,Distraction,Looking Center for >3s
2026-05-10 02:58:09,Distraction,Looking Center for >3s
2026-05-10 02:58:12,Distraction,Looking Center for >3s
2026-05-10 02:59:01,Distraction,Looking Center for >3s
2026-05-10 02:59:08,Distraction,Looking Center for >3s
2026-05-10 02:59:12,Distraction,Looking Center for >3s
2026-05-10 02:59:17,Distraction,Looking Center for >3s
2026-05-10 02:59:53,Distraction,Looking Center for >3s
2026-05-10 02:59:56,Distraction,Looking Center for >3s
2026-05-10 02:59:58,Distraction,Looking Center for >3s
2026-05-10 03:02:18,Distraction,Looking Center for >3s
2026-05-10 03:02:24,Distraction,Looking Center for >3s
2026-05-10 03:02:30,Distraction,Looking Center for >3s
2026-05-10 03:03:49,Distraction,Looking Center for >3s
2026-05-10 03:03:50,Distraction,Looking Center for >3s
2026-05-10 03:03:56,Distraction,Looking Center for >3s
2026-05-10 03:03:59,Distraction,Looking Center for >3s
2026-05-10 03:04:08,Distraction,Looking Center for >3s
2026-05-10 03:04:39,Distraction,Looking Center for >3s
2026-05-10 03:05:00,Distraction,Looking Center for >3s
2026-05-10 03:05:01,Distraction,Looking Center for >3s
2026-05-10 03:05:04,Distraction,Looking Center for >3s
2026-05-10 03:05:07,Distraction,Looking Center for >3s
2026-05-10 03:06:03,Distraction,Looking Center for >3s
2026-05-10 03:06:11,Distraction,Looking Center for >3s
2026-05-10 03:06:13,Distraction,Looking Center for >3s
2026-05-10 03:06:16,Distraction,Looking Center for >3s
2026-05-10 03:07:02,Distraction,Looking Center for >3s
2026-05-10 03:07:18,Distraction,Looking Center for >3s
2026-05-10 03:07:23,Distraction,Looking Center for >3s
2026-05-10 03:07:33,Distraction,Looking Center for >3s
2026-05-10 03:07:39,Sleep,Eyes closed for >3s
2026-05-10 03:07:40,Distraction,Looking Center for >3s
2026-05-10 03:07:43,Sleep,Eyes closed for >3s
2026-05-10 03:07:57,Sleep,Eyes closed for >3s
2026-05-10 03:07:59,Distraction,Looking Center for >3s
2026-05-10 03:08:08,Sleep,Eyes closed for >3s
2026-05-10 03:08:08,Distraction,Looking Center for >3s
2026-05-10 03:08:10,Distraction,Looking Center for >3s
2026-05-10 03:08:20,Distraction,Looking Center for >3s
2026-05-10 03:08:23,Distraction,Looking Center for >3s
2026-05-10 03:08:53,Distraction,Looking Center for >3s
2026-05-10 03:08:55,Sleep,Eyes closed for >3s
2026-05-10 03:08:58,Distraction,Looking Center for >3s
2026-05-10 03:09:12,Distraction,Looking Center for >3s
2026-05-10 03:09:28,Distraction,Looking Center for >3s
2026-05-10 03:09:42,Distraction,Looking Center for >3s
2026-05-10 03:09:50,Distraction,Looking Center for >3s
2026-05-10 03:10:04,Sleep,Eyes closed for >3s
2026-05-10 03:10:08,Distraction,Looking Center for >3s
2026-05-10 03:10:11,Sleep,Eyes closed for >3s
2026-05-10 03:10:14,Sleep,Eyes closed for >3s
2026-05-10 03:10:17,Sleep,Eyes closed for >3s
2026-05-10 03:10:48,Sleep,Eyes closed for >3s
2026-05-10 03:11:04,Distraction,Looking Center for >3s
2026-05-10 03:11:14,Distraction,Looking Center for >3s
2026-05-10 03:11:18,Distraction,Looking Center for >3s
2026-05-10 03:11:20,Distraction,Looking Center for >3s
2026-05-10 03:11:26,Distraction,Looking Center for >3s
2026-05-10 03:11:27,Phone Usage,Phone detected in frame
2026-05-10 03:11:28,Distraction,Looking Center for >3s
2026-05-10 03:11:56,Sleep,Eyes closed for >3s
2026-05-10 03:12:08,Sleep,Eyes closed for >3s
2026-05-10 03:12:23,Distraction,Looking Center for >3s
2026-05-10 03:12:36,Distraction,Looking Center for >3s
2026-05-10 03:13:36,Distraction,Looking Center for >3s
2026-05-10 03:13:48,Distraction,Looking Center for >3s
2026-05-10 03:13:52,Distraction,Looking Center for >3s
2026-05-10 03:13:55,Distraction,Looking Center for >3s
2026-05-10 03:13:58,Phone Usage,Phone detected in frame
2026-05-10 03:13:59,Phone Usage,Phone detected in frame
2026-05-10 03:13:59,Phone Usage,Phone detected in frame
2026-05-10 03:14:13,Distraction,Looking Center for >3s
2026-05-10 03:14:27,Distraction,Looking Center for >3s
2026-05-10 03:14:30,Distraction,Looking Center for >3s
2026-05-10 03:14:49,Distraction,Looking Center for >3s
2026-05-10 03:15:21,Distraction,Looking Center for >3s
2026-05-10 03:15:26,Distraction,Looking Center for >3s
2026-05-10 03:15:28,Distraction,Looking Center for >3s
2026-05-10 03:16:06,Distraction,Looking Center for >3s
2026-05-10 03:16:16,Distraction,Looking Center for >3s
2026-05-10 03:16:45,Distraction,Looking Center for >3s
2026-05-10 03:16:47,Distraction,Looking Center for >3s
2026-05-10 03:16:56,Distraction,Looking Center for >3s
2026-05-10 03:17:05,Distraction,Looking Center for >3s
2026-05-10 03:17:21,Distraction,Looking Center for >3s
2026-05-10 03:17:23,Distraction,Looking Center for >3s
2026-05-10 03:17:33,Distraction,Looking Center for >3s
2026-05-10 03:17:45,Distraction,Looking Center for >3s
2026-05-10 03:19:09,Distraction,Looking Center for >3s
2026-05-10 03:19:14,Distraction,Looking Center for >3s
2026-05-10 03:19:26,Distraction,Looking Center for >3s
2026-05-10 03:22:10,Distraction,Looking Center for >3s
2026-05-10 03:23:04,Distraction,Looking Center for >3s
2026-05-10 03:23:39,Distraction,Looking Center for >3s
2026-05-10 03:23:46,Distraction,Looking Center for >3s
2026-05-10 03:23:51,Distraction,Looking Center for >3s
2026-05-10 03:24:16,Distraction,Looking Center for >3s
2026-05-10 03:24:28,Distraction,Looking Center for >3s
2026-05-10 03:24:41,Distraction,Looking Center for >3s
2026-05-10 03:24:52,Session End,"Total Sleeps: 21, Distractions: 88, Phones: 34"
2026-05-11 00:33:20,Session Start,Study session started
2026-05-11 00:33:44,Sleep,Eyes closed for >3s
2026-05-11 00:33:48,Distraction,Looking Center for >3s
2026-05-11 00:33:54,Distraction,Looking Center for >3s
2026-05-11 00:34:01,Phone Usage,Phone detected in frame
2026-05-11 00:34:01,Phone Usage,Phone detected in frame
2026-05-11 00:34:03,Phone Usage,Phone detected in frame
2026-05-11 00:34:04,Distraction,Looking Center for >3s
2026-05-11 00:34:11,Distraction,Looking Center for >3s
2026-05-11 00:34:19,Distraction,Looking Center for >3s
2026-05-11 00:34:22,Distraction,Looking Center for >3s
2026-05-11 00:34:26,Distraction,Looking Center for >3s
2026-05-11 00:34:37,Distraction,Looking Center for >3s
2026-05-11 00:34:41,Distraction,Looking Center for >3s
2026-05-11 00:34:45,Distraction,Looking Center for >3s
2026-05-11 00:34:48,Distraction,Looking Center for >3s
2026-05-11 00:35:14,Distraction,Looking Center for >3s
2026-05-11 00:35:19,Distraction,Looking Center for >3s
2026-05-11 00:35:22,Distraction,Looking Center for >3s
2026-05-11 00:35:24,Distraction,Looking Center for >3s
2026-05-11 00:35:27,Distraction,Looking Center for >3s
2026-05-11 00:35:54,Sleep,Eyes closed for >3s
2026-05-11 00:36:27,Session End,"Total Sleeps: 2, Distractions: 16, Phones: 3"
2026-05-11 00:36:39,Session Start,Study session started
2026-05-11 00:36:47,Sleep,Eyes closed for >3s
2026-05-11 00:36:56,Sleep,Eyes closed for >3s
2026-05-11 00:37:02,Sleep,Eyes closed for >3s
2026-05-11 00:37:03,Sleep,Eyes closed for >3s
2026-05-11 00:37:07,Session End,"Total Sleeps: 4, Distractions: 0, Phones: 0"
2026-05-27 16:08:24,Session Start,Study session started
2026-05-27 16:08:34,Distraction,Looking Center for >3s
2026-05-27 16:08:43,Sleep,Eyes closed for >3s
2026-05-27 16:08:54,Sleep,Eyes closed for >3s
2026-05-27 16:09:00,Phone Usage,Phone detected in frame
2026-05-27 16:09:00,Phone Usage,Phone detected in frame
2026-05-27 16:09:01,Phone Usage,Phone detected in frame
2026-05-27 16:09:01,Phone Usage,Phone detected in frame
2026-05-27 16:09:02,Phone Usage,Phone detected in frame
2026-05-27 16:09:02,Phone Usage,Phone detected in frame
2026-05-27 16:09:06,Phone Usage,Phone detected in frame
2026-05-27 16:09:16,Sleep,Eyes closed for >3s
2026-05-27 16:09:34,Phone Usage,Phone detected in frame
2026-05-27 16:09:36,Session End,"Total Sleeps: 3, Distractions: 1, Phones: 8"
2026-05-27 16:10:28,Session Start,Study session started
2026-05-27 16:10:37,Sleep,Eyes closed for >3s
2026-05-27 16:10:43,Sleep,Eyes closed for >3s
2026-05-27 16:10:58,Sleep,Eyes closed for >3s
2026-05-27 16:11:03,Distraction,Looking Center for >3s
2026-05-27 16:11:05,Distraction,Looking Center for >3s
2026-05-27 16:11:07,Distraction,Looking Center for >3s
2026-05-27 16:11:10,Distraction,Looking Center for >3s
2026-05-27 16:11:15,Sleep,Eyes closed for >3s
2026-05-27 16:11:20,Distraction,Looking Center for >3s
2026-05-27 16:11:24,Phone Usage,Phone detected in frame
2026-05-27 16:11:25,Phone Usage,Phone detected in frame
2026-05-27 16:11:34,Sleep,Eyes closed for >3s
2026-05-27 16:11:34,Session End,"Total Sleeps: 5, Distractions: 5, Phones: 2"
